cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,polintr,polcmpl,poldcs,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,vote,contplt,wrkprty,wrkorg,badge,sgnptit,pbldmn,bctprd,clsprty,prtdgcl,mmbprty,lrscale,stflife,stfeco,stfgov,stfdem,stfedu,stfhlth,gincdif,freehms,prtyban,scnsenv,euftf,imsmetn,imdfetn,impcntr,imbgeco,imueclt,imwbcnt,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun,
ES,ESS1-6e01,1.0,26.11.2014,93449,ESS4e04_3,4,4.3,3,1.1902,1.61651408325379,1.50092092391304,4,4,2,5,5,6,1,2,88,5,7,2,2,2,2,2,2,2,2,6,2,77,7,4,5,5,6,6,2,4,3,3,88,3,3,3,88,77,5,4,5,2,3,2,3,2,3,4,5,3,2,5,1,5,3,2,2,3,2,3,
ES,ESS1-6e01,1.0,26.11.2014,93450,ESS4e04_3,4,4.3,4,0.7545,0.62337403568101,1.50092092391304,3,4,4,3,2,3,1,1,3,2,1,2,2,1,2,1,2,2,1,3,2,2,7,3,2,3,8,8,2,2,2,4,3,3,3,3,3,3,3,2,2,1,2,5,1,6,2,2,2,2,2,3,2,1,4,4,2,4,4,1,
ES,ESS1-6e01,1.0,26.11.2014,93451,ESS4e04_3,4,4.3,5,1.3475,1.05122566797261,1.50092092391304,3,2,4,6,3,8,3,2,4,8,1,2,2,2,2,2,2,2,2,6,2,3,8,2,6,8,8,8,1,2,1,5,3,2,2,2,3,9,8,1,6,2,3,1,5,1,2,2,1,2,2,1,5,5,1,1,1,1,1,6,
ES,ESS1-6e01,1.0,26.11.2014,93452,ESS4e04_3,4,4.3,6,1.4448,1.53799778964544,1.50092092391304,2,2,3,1,1,5,1,1,2,2,2,2,2,2,2,2,2,2,2,6,2,77,9,0,0,3,1,2,1,1,1,1,3,2,3,2,7,6,6,1,3,1,4,1,2,3,1,4,3,3,2,3,1,2,2,5,1,1,4,3,
ES,ESS1-6e01,1.0,26.11.2014,93453,ESS4e04_3,4,4.3,7,0.73,0.747428209529953,1.50092092391304,3,2,2,7,8,8,8,7,8,8,1,2,2,2,2,2,2,2,2,6,2,3,4,5,6,8,5,7,3,2,2,1,9,3,3,3,5,4,6,2,4,2,3,4,2,3,3,2,3,3,4,3,3,5,4,3,2,3,4,2,
ES,ESS1-6e01,1.0,26.11.2014,93454,ESS4e04_3,4,4.3,10,1.3475,1.06108970122873,1.50092092391304,2,1,4,3,0,6,3,1,2,2,1,2,2,2,2,2,2,2,2,6,2,9,4,4,0,7,2,5,1,2,1,1,2,3,2,2,4,0,0,2,3,3,3,3,3,3,2,3,1,2,1,2,2,2,2,2,2,3,1,2,
ES,ESS1-6e01,1.0,26.11.2014,93455,ESS4e04_3,4,4.3,13,0.73,0.603131936444184,1.50092092391304,3,3,4,8,3,7,5,5,8,5,1,2,2,2,2,2,2,2,2,6,2,4,7,4,4,7,9,9,4,8,2,4,4,3,3,3,4,2,3,5,6,3,6,3,5,5,5,2,5,2,3,5,5,6,3,6,2,6,3,4,
ES,ESS1-6e01,1.0,26.11.2014,93456,ESS4e04_3,4,4.3,14,1.3763,1.8924718685018,1.50092092391304,3,2,4,3,2,7,0,2,4,5,1,2,2,2,2,1,2,1,1,3,2,5,5,0,1,6,1,6,2,4,1,2,8,3,3,3,2,8,4,3,5,2,5,5,3,2,1,3,6,5,1,6,2,6,1,2,1,2,1,6,
ES,ESS1-6e01,1.0,26.11.2014,93457,ESS4e04_3,4,4.3,17,1.32,1.11607285574744,1.50092092391304,4,2,4,5,3,7,0,0,88,6,1,2,2,2,2,2,2,2,2,6,2,3,8,8,6,6,5,5,2,1,1,1,8,1,1,1,88,10,5,1,6,1,1,4,2,4,1,1,1,1,1,1,1,2,4,2,1,1,6,1,
ES,ESS1-6e01,1.0,26.11.2014,93458,ESS4e04_3,4,4.3,18,0.298,0.215689990842701,1.50092092391304,2,4,2,88,0,77,88,88,88,77,7,1,2,2,2,2,2,1,1,2,2,10,5,3,0,7,2,3,1,3,1,3,1,4,4,4,0,0,0,1,4,1,2,1,1,3,2,1,2,1,2,2,1,5,1,2,1,3,2,3,
ES,ESS1-6e01,1.0,26.11.2014,93459,ESS4e04_3,4,4.3,19,1.5467,0.922962964675682,1.50092092391304,4,5,1,2,3,7,0,0,2,2,2,2,2,2,2,2,2,2,2,6,2,88,9,6,4,5,6,4,2,1,2,3,88,3,3,3,5,5,5,2,6,2,6,1,2,2,2,2,4,2,1,6,3,5,2,6,1,2,3,4,
ES,ESS1-6e01,1.0,26.11.2014,93460,ESS4e04_3,4,4.3,20,0.922,1.28367753780586,1.50092092391304,2,3,2,4,2,5,1,1,3,5,1,2,2,2,2,2,2,2,2,6,2,8,10,2,1,4,5,6,2,2,4,4,2,3,3,3,2,3,3,2,3,5,6,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,
